Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),FCFS P50 CTD (min),FCFS P90 CTD (min),FCFS P95 CTD (min),FCFS Avg RTP (min),FCFS P90 RTP (min),FCFS Avg RTD (min),FCFS P90 RTD (min),FCFS % Undelivered,FCFS SLA Compliance (%),FCFS Avg Bundle Size,FCFS % Multi-Bundle,FCFS Total Distance (km),FCFS Dist/Order (km),FCFS Orders/Courier/Hr,FCFS Bundles/Hr,FCFS Utilization (%),FCFS Total Compensation ($),FCFS Cost/Order ($),FCFS Frac. Min Comp,FCFS CTD Overage (min),RH Avg CTD (min),RH P50 CTD (min),RH P90 CTD (min),RH P95 CTD (min),RH Avg RTP (min),RH P90 RTP (min),RH Avg RTD (min),RH P90 RTD (min),RH % Undelivered,RH SLA Compliance (%),RH Avg Bundle Size,RH % Multi-Bundle,RH Total Distance (km),RH Dist/Order (km),RH Orders/Courier/Hr,RH Bundles/Hr,RH Utilization (%),RH Total Compensation ($),RH Cost/Order ($),RH Frac. Min Comp,RH CTD Overage (min),Δ% Avg CTD (min),Δ% P50 CTD (min),Δ% P90 CTD (min),Δ% P95 CTD (min),Δ% Avg RTP (min),Δ% P90 RTP (min),Δ% Avg RTD (min),Δ% P90 RTD (min),Δ% % Undelivered,Δ% SLA Compliance (%),Δ% Avg Bundle Size,Δ% % Multi-Bundle,Δ% Total Distance (km),Δ% Dist/Order (km),Δ% Orders/Courier/Hr,Δ% Bundles/Hr,Δ% Utilization (%),Δ% Total Compensation ($),Δ% Cost/Order ($),Δ% Frac. Min Comp,Δ% CTD Overage (min),FCFS Time (s),RH Time (s)
S2 – Moderada (26:1),1035,40,25.9,14.68,10.33,23.18,51.34,4.22,9.49,2.77,11.69,0.0,93.62,1.0,0.0,4678.51,4.52,2.08,2.08,25.96,10379.71,10.03,0.07,1.75,34.79,31.76,54.37,61.54,17.69,36.96,22.88,42.55,0.0,69.76,3.01,80.48,7273.59,2.8,5.23,2.32,43.03,26010.0,10.0,0.0,4.39,136.99,207.45,134.56,19.87,319.19,289.46,725.99,263.99,0.0,-25.49,201.0,0.0,55.47,-38.05,151.44,11.54,65.76,150.59,-0.3,-100.0,150.86,25.8,1173.8
S3 – Media (35:1),1035,30,34.5,29.63,11.34,93.79,130.29,18.31,79.19,17.72,82.5,0.0,79.42,1.0,0.0,4891.3,4.73,2.77,2.77,35.97,10350.0,10.0,0.0,12.26,41.5,33.2,64.63,101.47,23.82,45.68,29.58,52.64,0.0,62.51,3.28,88.99,6059.7,2.52,6.43,2.41,48.08,24000.0,10.0,0.0,10.34,40.06,192.77,-31.09,-22.12,30.09,-42.32,66.93,-36.19,0.0,-21.29,228.0,0.0,23.89,-46.72,132.13,-13.0,33.67,131.88,0.0,0.0,-15.66,31.2,920.5
S4 – Alta (52:1),1035,20,51.8,71.02,13.81,214.61,270.95,58.79,200.43,59.17,203.91,9.76,61.24,1.0,0.0,4709.43,5.04,3.75,3.75,51.62,9340.0,10.0,0.0,48.19,62.31,40.57,153.7,221.24,43.95,135.62,50.4,141.82,0.0,49.08,3.59,96.52,4709.71,2.28,8.32,2.61,56.13,20690.0,10.0,0.0,29.32,-12.26,193.77,-28.38,-18.35,-25.24,-32.34,-14.82,-30.45,-100.0,-19.86,259.0,0.0,0.01,-54.76,121.87,-30.4,8.74,121.52,0.0,0.0,-39.16,34.9,1263.4
S1 – Baja (18:1),988,55,18.0,10.24,10.19,12.96,13.67,0.18,0.0,-1.74,2.85,0.0,100.0,1.0,0.0,4541.68,4.6,1.43,1.43,18.07,11104.07,11.24,0.55,0.0,32.79,30.07,49.25,54.41,15.57,31.48,20.8,37.78,0.0,74.9,2.73,72.17,9016.8,3.13,4.16,2.03,37.35,28820.0,10.0,0.0,2.56,220.21,195.09,280.02,298.02,8550.0,0.0,1295.4,1225.61,0.0,-25.1,173.0,0.0,98.53,-31.96,190.91,41.96,106.7,159.54,-11.03,-100.0,0.0,48.4,2586.5
S2 – Moderada (26:1),988,38,26.0,14.84,10.82,20.03,44.18,3.86,6.47,2.86,10.2,0.0,94.33,1.0,0.0,4772.82,4.83,2.07,2.07,27.36,9888.8,10.01,0.03,1.5,39.23,32.87,59.67,74.79,21.37,40.49,27.25,47.05,0.0,66.09,3.15,83.4,7335.36,2.88,5.32,2.21,44.6,25460.0,10.0,0.0,7.84,164.35,203.79,197.9,69.28,453.63,525.81,852.8,361.27,0.0,-29.94,215.0,0.0,53.69,-40.37,157.0,6.76,63.01,157.46,-0.1,-100.0,422.67,26.3,1222.4
S3 – Media (35:1),988,29,34.1,32.9,11.78,108.22,137.11,21.07,93.21,20.91,96.21,0.0,77.43,1.0,0.0,5043.83,5.11,2.71,2.71,37.56,9880.0,10.0,0.0,14.77,48.08,36.44,82.07,156.46,29.89,61.07,36.09,68.7,0.0,57.49,3.35,91.5,6514.18,2.61,6.84,2.44,52.05,24950.0,10.0,0.0,15.77,46.14,209.34,-24.16,14.11,41.86,-34.48,72.6,-28.59,0.0,-25.75,235.0,0.0,29.15,-48.92,152.4,-9.96,38.58,152.53,0.0,0.0,6.77,32.0,846.0
S4 – Alta (52:1),988,19,52.0,70.39,15.47,210.93,258.18,57.28,193.83,58.37,197.2,12.35,63.05,1.0,0.0,4805.34,5.55,3.62,3.62,53.53,8660.0,10.0,0.0,47.28,66.31,39.27,174.22,231.44,47.73,156.91,54.33,163.28,4.05,51.58,3.61,96.84,4701.02,2.36,8.33,2.61,57.53,19910.0,10.0,0.0,33.59,-5.8,153.85,-17.4,-10.36,-16.67,-19.05,-6.92,-17.2,-67.21,-18.19,261.0,0.0,-2.17,-57.48,130.11,-27.9,7.47,129.91,0.0,0.0,-28.96,34.7,1322.1
S1 – Baja (18:1),1047,59,17.7,9.87,9.85,12.97,13.89,0.13,0.0,-2.07,2.78,0.0,100.0,1.0,0.0,4454.79,4.25,1.42,1.42,17.36,11867.39,11.33,0.51,0.0,31.49,28.97,49.71,53.39,14.9,30.68,19.55,36.55,0.0,76.12,2.67,70.2,8970.06,3.09,3.94,2.04,36.32,29000.0,10.0,0.0,2.13,219.05,194.11,283.27,284.38,11361.54,0.0,1044.44,1214.75,0.0,-23.88,167.0,0.0,101.36,-27.29,177.46,43.66,109.22,144.37,-11.74,-100.0,0.0,51.9,2866.4
S2 – Moderada (26:1),1047,41,25.5,14.73,10.52,24.22,48.23,4.11,7.19,2.79,10.44,0.0,93.6,1.0,0.0,4735.43,4.52,2.05,2.05,26.29,10483.83,10.01,0.05,1.78,35.48,30.94,55.44,66.21,18.37,37.59,23.54,42.98,0.0,68.67,3.08,82.62,7298.78,2.74,5.2,2.24,42.73,26590.0,10.0,0.0,4.93,140.87,194.11,128.9,37.28,346.96,422.81,743.73,311.69,0.0,-26.63,208.0,0.0,54.13,-39.38,153.66,9.27,62.53,153.63,-0.1,-100.0,176.97,28.5,1270.4
S3 – Media (35:1),1047,30,34.9,34.74,11.89,114.48,155.27,22.93,100.06,22.8,103.4,0.0,77.08,1.0,0.0,5076.98,4.85,2.8,2.8,38.06,10470.0,10.0,0.0,16.46,44.16,34.7,74.32,131.44,26.77,56.26,32.22,63.0,0.0,60.74,3.26,89.68,6151.72,2.49,6.61,2.49,49.31,24700.0,10.0,0.0,12.84,27.12,191.84,-35.08,-15.35,16.75,-43.77,41.32,-39.07,0.0,-21.2,226.0,0.0,21.17,-48.66,136.07,-11.07,29.56,135.91,0.0,0.0,-21.99,34.6,1176.1
